id,center_x,center_y,time,x,y,w,h
59,425,664,88,410.0,643.0,30.0,42.0
21,1015,653,88,1003.0,633.0,24.0,40.0
113,835,892,88,817.0,874.0,37.0,37.0
55,673,620,89,661.0,603.0,25.0,34.0
21,1015,653,89,1003.0,633.0,24.0,40.0
113,833,894,89,816.0,878.0,35.0,32.0
43,393,830,89,374.0,801.0,39.0,58.0
59,344,661,89,326.0,641.0,37.0,40.0
84,675,767,89,664.0,754.0,23.0,26.0
64,303,416,89,286.0,386.0,35.0,60.0
29,1116,1023,89,1088.0,1013.0,56.0,20.0
113,836,889,90,816.0,869.0,40.0,41.0
43,393,830,90,375.0,802.0,36.0,56.0
29,1115,1024,90,1086.0,1014.0,58.0,21.0
84,675,767,90,664.0,754.0,23.0,26.0
59,344,661,90,326.0,641.0,37.0,40.0
55,673,620,90,661.0,603.0,25.0,34.0
21,1015,652,90,1003.0,633.0,24.0,39.0
64,306,423,90,291.0,401.0,31.0,44.0
113,834,889,91,815.0,868.0,38.0,42.0
59,424,664,91,409.0,644.0,31.0,41.0
43,393,830,91,374.0,801.0,39.0,58.0
64,306,425,91,288.0,405.0,37.0,41.0
84,676,767,91,664.0,754.0,24.0,26.0
21,1015,652,91,1003.0,633.0,25.0,39.0
55,673,620,91,661.0,603.0,25.0,34.0
29,1113,1024,91,1085.0,1013.0,57.0,22.0
84,676,767,92,664.0,754.0,24.0,26.0
59,424,664,92,409.0,644.0,31.0,41.0
113,834,889,92,815.0,868.0,38.0,42.0
64,306,425,92,288.0,405.0,37.0,41.0
29,1112,1024,92,1084.0,1013.0,57.0,22.0
55,673,620,92,661.0,603.0,25.0,34.0
43,393,830,92,375.0,802.0,36.0,57.0
21,1015,652,92,1003.0,633.0,25.0,39.0
84,676,768,93,664.0,755.0,24.0,26.0
64,308,427,93,292.0,408.0,33.0,38.0
59,424,664,93,409.0,644.0,31.0,41.0
29,1105,1025,93,1074.0,1013.0,63.0,24.0
43,393,831,93,376.0,803.0,35.0,56.0
55,673,619,93,660.0,602.0,26.0,34.0
21,1015,652,93,1003.0,633.0,24.0,38.0
113,834,887,93,811.0,864.0,47.0,46.0
59,425,664,94,410.0,644.0,30.0,41.0
84,676,767,94,664.0,754.0,24.0,26.0
43,393,832,94,376.0,804.0,35.0,57.0
113,835,886,94,811.0,863.0,48.0,46.0
55,673,619,94,661.0,602.0,25.0,34.0
29,1104,1025,94,1075.0,1013.0,59.0,24.0
64,308,426,94,292.0,407.0,33.0,39.0
21,1015,652,94,1003.0,633.0,25.0,38.0
64,309,427,95,292.0,408.0,34.0,38.0
84,675,767,95,664.0,754.0,23.0,26.0
59,424,664,95,409.0,644.0,31.0,41.0
21,1015,652,95,1003.0,633.0,24.0,38.0
29,1108,1025,95,1084.0,1014.0,49.0,22.0
43,392,838,95,377.0,815.0,31.0,47.0
55,673,620,95,661.0,603.0,25.0,34.0
113,834,886,95,811.0,863.0,47.0,47.0
84,675,767,96,664.0,754.0,23.0,26.0
113,835,886,96,811.0,863.0,48.0,47.0
64,309,427,96,292.0,408.0,35.0,38.0
21,1015,653,96,1003.0,633.0,25.0,40.0
43,392,841,96,377.0,816.0,31.0,51.0
29,1107,1024,96,1084.0,1014.0,46.0,21.0
55,674,620,96,661.0,603.0,26.0,34.0
59,424,664,96,409.0,645.0,31.0,39.0
43,392,835,97,376.0,806.0,32.0,58.0
21,1015,653,97,1002.0,633.0,26.0,40.0
113,919,863,97,904.0,852.0,31.0,22.0
64,310,427,97,292.0,408.0,36.0,38.0
55,674,620,97,661.0,603.0,26.0,34.0
29,1106,1023,97,1083.0,1014.0,46.0,19.0
59,343,660,97,326.0,640.0,34.0,41.0
84,675,767,97,663.0,754.0,24.0,26.0
64,311,425,98,292.0,405.0,38.0,40.0
55,674,620,98,661.0,603.0,26.0,34.0
84,675,767,98,663.0,753.0,24.0,28.0
29,1105,1024,98,1082.0,1014.0,46.0,20.0
59,343,664,98,326.0,648.0,34.0,33.0
21,1015,653,98,1002.0,633.0,27.0,40.0
43,390,835,98,377.0,805.0,26.0,60.0
29,1102,1026,99,1077.0,1014.0,50.0,25.0
59,424,663,99,409.0,645.0,30.0,37.0
55,674,620,99,661.0,603.0,27.0,34.0
43,390,843,99,377.0,817.0,26.0,53.0
113,920,863,99,905.0,853.0,30.0,20.0
84,675,766,99,663.0,752.0,24.0,28.0
21,1015,655,99,1002.0,633.0,27.0,44.0
43,389,843,100,377.0,821.0,24.0,45.0
29,1101,1025,100,1076.0,1014.0,50.0,22.0
55,674,620,100,661.0,603.0,27.0,34.0
21,1015,654,100,1002.0,633.0,27.0,43.0
59,345,660,100,326.0,640.0,39.0,41.0
84,675,766,100,663.0,752.0,24.0,28.0
113,919,863,101,904.0,852.0,31.0,22.0
21,1015,655,101,1002.0,633.0,27.0,44.0
59,342,665,101,326.0,649.0,32.0,32.0
84,675,765,101,663.0,751.0,24.0,29.0
29,1099,1024,101,1073.0,1014.0,52.0,21.0
55,675,620,101,661.0,603.0,28.0,34.0
